totalJSHeapSize,jsHeapSizeLimit,usedJSHeapSize
10187032,2181038080,9221832
10272792,2181038080,9308264
10346312,2181038080,9382456
9888536,2181038080,8395688
9924376,2181038080,8446136
9959368,2181038080,8493640
9994360,2181038080,8541112
10039680,2181038080,8598912
10074688,2181038080,8646384
10148632,2181038080,8732808
10210344,2181038080,8807000
10245336,2181038080,8854472
10280328,2181038080,8901944
10315320,2181038080,8949416
10350312,2181038080,8996888
10385304,2181038080,9044360
10420296,2181038080,9091840
10499232,2181038080,9183256
10646456,2181038080,9344592
10681448,2181038080,9392064
10716448,2181038080,9439544
10751440,2181038080,9487016
10002104,2181038080,8749672
9321656,2181038080,8458296
9357456,2181038080,8508576
9392448,2181038080,8556048
9427440,2181038080,8603488
9298376,2181038080,8445320
9334216,2181038080,8495704
9369208,2181038080,8543176
9404200,2181038080,8590616
9478104,2181038080,8677128
9539816,2181038080,8751288
9574808,2181038080,8798760
9611272,2181038080,8846232
9658072,2181038080,8893704
9704880,2181038080,8941184
9751680,2181038080,8988656
9258704,2181038080,8462592
9333032,2181038080,8551048
9403168,2181038080,8625240
9449968,2181038080,8672712
9496768,2181038080,8720184
9543568,2181038080,8767656
9590368,2181038080,8815128
9637168,2181038080,8862600
9683968,2181038080,8910072
9769680,2181038080,8996456
9314448,2181038080,8464200
9349832,2181038080,8513712
9384824,2181038080,8561184
9419816,2181038080,8608656
9454808,2181038080,8656128
9489800,2181038080,8703600
9529120,2181038080,8751080
9614880,2181038080,8837512
9688400,2181038080,8911704
9735200,2181038080,8959176
9273264,2181038080,8477768
9308648,2181038080,8527280
9343640,2181038080,8574752
9389128,2181038080,8622224
9435928,2181038080,8669696
9521680,2181038080,8756120
9595200,2181038080,8830312
9642000,2181038080,8877784
9688800,2181038080,8925256
9735600,2181038080,8972728
9355864,2181038080,8492616
9391248,2181038080,8542128
9426240,2181038080,8589600
9505216,2181038080,8681120
9652440,2181038080,8842456
9687432,2181038080,8889928
9722432,2181038080,8937408
9757424,2181038080,8984880
9938288,2181038080,9168288
10007488,2181038080,9238160
9405640,2181038080,8527968
9441024,2181038080,8577448
9476016,2181038080,8624888
9511008,2181038080,8672328
9546000,2181038080,8719768
9580992,2181038080,8767208
9615984,2181038080,8814648
9676368,2181038080,8887480
9273784,2181038080,8498576
9322312,2181038080,8548992
9369144,2181038080,8596496
9415944,2181038080,8643968
9462752,2181038080,8691448
9509552,2181038080,8738920
9556368,2181038080,8786408
9628752,2181038080,8859464
9676416,2181038080,8907800
9723216,2181038080,8955272
9363504,2181038080,8522352
9398888,2181038080,8571864
9433880,2181038080,8619336
9468872,2181038080,8666808
9503864,2181038080,8714280
9564288,2181038080,8787184
9611744,2181038080,8835520
9658544,2181038080,8882992
9705344,2181038080,8930464
9752144,2181038080,8977936
9309080,2181038080,8537168
9356784,2181038080,8586680
9403592,2181038080,8634160
9475832,2181038080,8707072
9523496,2181038080,8755408
9570296,2181038080,8802880
9617096,2181038080,8850352
9663896,2181038080,8897824
9710696,2181038080,8945296
9757496,2181038080,8992768
9428968,2181038080,8552000
9502104,2181038080,8626944
9549768,2181038080,8675280
9596568,2181038080,8722752
9643368,2181038080,8770224
9690168,2181038080,8817696
9736968,2181038080,8865168
9783768,2181038080,8912640
9833848,2181038080,8964896
9916152,2181038080,9047872
9577520,2181038080,8591448
9612904,2181038080,8640960
9647904,2181038080,8688440
9680968,2181038080,8733960
9874360,2181038080,8940912
9942808,2181038080,9023280
9977800,2181038080,9070720
10012792,2181038080,9118160
10047784,2181038080,9165616
10082776,2181038080,9213056
9341312,2181038080,8580368
9389904,2181038080,8630848
9436704,2181038080,8678320
9509024,2181038080,8751312
9556656,2181038080,8799616
9603456,2181038080,8847088
9650256,2181038080,8894560
9697056,2181038080,8942032
9743864,2181038080,8989512
9790664,2181038080,9036984
9450120,2181038080,8586912
9523248,2181038080,8661848
9570912,2181038080,8710184
9617712,2181038080,8757656
9664512,2181038080,8805128
9711312,2181038080,8852600
9758112,2181038080,8900072
9804912,2181038080,8947544
9851712,2181038080,8995016
9923904,2181038080,9067880
9971568,2181038080,9116216
9566328,2181038080,8590104
9601712,2181038080,8639616
9636704,2181038080,8687088
9671696,2181038080,8734560
9706688,2181038080,8782032
9741688,2181038080,8829512
9802120,2181038080,8902424
9837976,2181038080,8950760
9872968,2181038080,8998232
9907960,2181038080,9045704
9364224,2181038080,8596088
9412752,2181038080,8646504
9459584,2181038080,8694008
9506384,2181038080,8741480
9578776,2181038080,8814544
9626440,2181038080,8862880
9673240,2181038080,8910352
9720040,2181038080,8957824
9766840,2181038080,9005296
9813640,2181038080,9052768
9860440,2181038080,9100240
9907240,2181038080,9147712
9481736,2181038080,8661424
9613192,2181038080,8808576
9648184,2181038080,8856048
9683184,2181038080,8903528
9722248,2181038080,8949048
9901752,2181038080,9129224
9970952,2181038080,9199096
10017720,2181038080,9246536
10064488,2181038080,9293976
10111256,2181038080,9341416
10158024,2181038080,9388856
9440448,2181038080,8634640
